City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Nikolskoye,RU,59.7035,30.7861,49.91,49,57,6.24,broken clouds
142,Sinnamary,GF,5.3833,-52.95,82.69,74,87,9.08,overcast clouds
143,Fushun,CN,41.8558,123.9233,53.31,47,0,4.7,clear sky
144,Nyurba,RU,63.2842,118.3319,24.96,87,100,5.32,overcast clouds
145,Mount Isa,AU,-20.7333,139.5,65.97,100,100,8.05,light rain
146,Qaqortoq,GL,60.7167,-46.0333,39.99,78,48,4.59,scattered clouds
147,Tecoanapa,MX,16.5167,-98.75,85.08,59,50,7.52,scattered clouds
148,Rio Branco,BR,-9.9747,-67.81,86.61,89,40,3.44,scattered clouds
149,Simoes,BR,-7.5989,-40.8178,90.88,31,100,9.6,overcast clouds
150,San Rafael,AR,-34.6177,-68.3301,65.61,42,74,4.83,broken clouds
151,Ribeira Grande,PT,38.5167,-28.7,68.4,77,20,9.22,few clouds
152,Strezhevoy,RU,60.7333,77.5889,50.38,80,98,6.13,overcast clouds
153,Iqaluit,CA,63.7506,-68.5145,32.7,80,100,4.0,overcast clouds
154,Khachrod,IN,23.4167,75.2833,96.73,12,14,6.42,few clouds
155,Itarema,BR,-2.9248,-39.9167,79.38,85,100,7.85,light rain
156,Nuuk,GL,64.1835,-51.7216,30.81,80,20,6.91,few clouds
157,Chapais,CA,49.7834,-74.8492,59.04,53,84,6.76,broken clouds
158,Inhambane,MZ,-23.865,35.3833,71.58,83,40,3.44,scattered clouds
159,San Nicolas,PH,18.1725,120.5953,81.55,76,27,3.09,scattered clouds
160,Doka,SD,13.5167,35.7667,103.14,10,96,8.72,overcast clouds
161,Tiksi,RU,71.6872,128.8694,8.04,92,19,10.96,few clouds
162,Cayenne,GF,4.9333,-52.3333,87.84,12,20,14.97,few clouds
163,Khromtau,KZ,50.2503,58.4347,56.19,88,100,20.87,light rain
164,Broome,US,42.2506,-75.833,67.62,26,0,11.5,clear sky
165,Hulan Ergi,CN,47.2042,123.6333,64.36,17,66,21.18,broken clouds
166,Sorong,ID,-0.8833,131.25,80.98,83,100,5.86,moderate rain
167,Vega De Alatorre,MX,20.0333,-96.6333,88.7,59,28,4.45,scattered clouds
168,Beringovskiy,RU,63.05,179.3167,20.19,82,3,5.08,clear sky
169,Airai,TL,-8.9266,125.4092,58.01,85,75,2.84,broken clouds
170,Mackay,AU,-21.15,149.2,74.68,86,95,14.63,overcast clouds
171,Nouadhibou,MR,20.931,-17.0347,64.92,91,65,19.84,broken clouds
172,Miraflores,MX,19.2167,-98.8083,74.05,27,15,0.92,few clouds
173,Uruacu,BR,-14.5247,-49.1408,90.12,31,23,4.43,few clouds
174,Enniscorthy,IE,52.5008,-6.5578,55.81,95,100,18.84,light rain
175,Klichka,RU,50.4457,117.996,39.36,62,97,16.93,overcast clouds
176,Aklavik,CA,68.2191,-135.0107,36.73,82,95,13.49,overcast clouds
177,Tazovskiy,RU,67.4667,78.7,34.25,100,100,9.66,overcast clouds
178,Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,10.36,scattered clouds
179,Lagoa,PT,39.05,-27.9833,63.21,70,66,2.42,broken clouds
180,Sisimiut,GL,66.9395,-53.6735,32.43,75,100,22.5,overcast clouds
181,Soe,ID,-9.8607,124.284,63.72,92,62,4.34,broken clouds
182,San Patricio,US,28.017,-97.5169,88.52,55,0,19.75,clear sky
183,Severo-Kurilsk,RU,50.6789,156.125,36.27,91,15,11.03,few clouds
184,Tripoli,LY,32.8752,13.1875,67.33,66,13,13.58,few clouds
185,Gat,IL,31.61,34.7642,83.39,40,0,16.06,clear sky
186,Meulaboh,ID,4.1363,96.1285,80.24,86,99,3.42,overcast clouds
187,Dabra,IN,25.9,78.3333,96.69,17,0,8.57,clear sky
188,Aksarayskiy,RU,46.7924,48.0119,52.14,76,100,13.94,overcast clouds
189,Bud,US,39.447,-86.1758,73.4,62,12,13.65,few clouds
190,Auki,SB,-8.7676,160.7034,77.88,89,59,4.7,broken clouds
191,Surt,LY,31.2089,16.5887,68.16,63,0,13.24,clear sky
192,Sitka,US,57.0531,-135.33,44.49,81,20,0.0,few clouds
193,Ketchikan,US,55.3422,-131.6461,48.67,81,0,4.61,clear sky
194,Trinidad,BO,-14.8333,-64.9,90.61,44,11,3.27,few clouds
195,Oranjemund,NA,-28.55,16.4333,60.94,67,15,10.6,few clouds
196,Narsaq,GL,60.9167,-46.05,53.82,70,43,4.99,scattered clouds
197,Boyolangu,ID,-8.1181,111.8935,77.83,90,100,1.21,light rain
198,Waingapu,ID,-9.6567,120.2641,77.61,82,71,9.44,broken clouds
199,Srednekolymsk,RU,67.45,153.6833,35.31,70,100,11.54,overcast clouds
200,Fortuna,US,40.5982,-124.1573,47.66,93,75,1.01,light rain
201,Kisangani,CD,0.5167,25.2,82.67,63,61,3.65,broken clouds
202,San Policarpo,PH,12.1791,125.5072,80.35,84,100,10.33,overcast clouds
203,Lukovetskiy,RU,64.2956,41.9211,41.27,66,78,2.86,broken clouds
204,Cedral,MX,23.8,-100.7333,82.8,17,97,5.21,overcast clouds
205,Ostersund,SE,63.1792,14.6357,55.85,47,0,5.75,clear sky
206,Lethem,GY,3.3803,-59.7968,86.76,59,87,5.01,overcast clouds
207,Nizhnyaya Omka,RU,55.4338,74.9426,56.44,48,92,7.72,overcast clouds
208,Khudumelapye,BW,-23.8833,24.75,63.79,19,0,6.24,clear sky
209,Maldonado,UY,-34.6667,-54.9167,69.19,55,52,4.18,broken clouds
210,Kagay,PH,6.0088,120.9074,80.2,85,100,2.17,overcast clouds
211,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,61,20,10.36,few clouds
212,Resistencia,AR,-27.4606,-58.9839,71.65,68,100,5.75,light rain
